ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"São permitidas encomendas?","Vender individualmente?","Peso (g)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download",Pai,"Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Atributo padrão 2"
23,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,20,,,,,,,,,,,,,0,,,,,,,,,,
24,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,20,,,,,,,,,,,,,1,,,,,,,,,,
41,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,35,,,,,,,,,,,,,0,,,,,,,,,,
42,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,30,35,,,,,,,,,,,,,1,,,,,,,,,,
584,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,0,,,20,,,,,,,,,,,,,0,,,,,,,,,,
585,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,0,,,20,,,,,,,,,,,,,1,,,,,,,,,,
586,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,0,,,35,,,,,,,,,,,,,0,,,,,,,,,,
587,variation,,,1,0,visible,,,,,taxable,,1,,0,0,,,,,0,,30,35,,,,,,,,,,,,,1,,,,,,,,,,
588,variable,38128526,"Bermuda de Compressão Activity Unlimit Masculina",1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,"Moda Fitness, Masculino > Moda Fitness Masculina, Roupas Fitness, Masculino, Masculino > Bermuda Masculina","Corrida, CrossFit, Musculação",,"https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-1.jpg, https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-2.jpg, https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-3.jpg, https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-4.jpg, https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-5.jpg, https://unlimit.fit/wp-content/uploads/2018/02/short-compressao-masculino-activity-cinza-unlimit-6.jpg",,,,,,,,,0,Cores,Cinza,1,0,Cinza,Tamanho,"P, M, G",1,0,P
589,variation,38128527,"Bermuda de Compressão Activity Unlimit Masculina - Cinza, P",1,0,visible,,,,,taxable,,1,3,0,0,,,,,0,,,"129,9000000000",,,,,,,38128526,,,,,,0,Cores,Cinza,,0,,Tamanho,P,,0,
590,variation,38128528,"Bermuda de Compressão Activity Unlimit Masculina - Cinza, M",1,0,visible,,,,,taxable,,1,1,0,0,,,,,0,,,"129,9000000000",,,,,,,38128526,,,,,,0,Cores,Cinza,,0,,Tamanho,M,,0,
591,variation,38128529,"Bermuda de Compressão Activity Unlimit Masculina - Cinza, G",1,0,visible,,,,,taxable,,1,2,0,0,,,,,0,,,"129,9000000000",,,,,,,38128526,,,,,,0,Cores,Cinza,,0,,Tamanho,G,,0,
592,variable,38128489,"Bermuda Fitness Emana Unlimit - Bordô",1,0,visible,,"<h2>Bermuda Fitness Emana Unlimit - Bordô</h2>
Esta <strong>Bermuda Fitness Emana Unlimit - Bordô </strong>tem efeito de compressão médio e é feito de um dos tecidos que mais faz sucesso entre o público feminino, o Emana tem como um dos seus grandes benefícios a diminuição dos sinas de celulite, proporcionando uma pele mais lisa e jovem. Contém cristais bioativos e minerais emissores infravermelhos, que ao absorver o calor promovem a bioestimulação do metabolismo.

A Bermuda Fitness Emana Unlimit tem bioestimulação, que faz o rendimento físico melhorar em diversos fatores, principalmente diminuindo a fadiga com menor consumo de oxigênio. O fio também contribui para uma rápida recuperação muscular, maior elasticidade da pele e equilíbrio térmico.

Saiba mais sobre este shorts em <a href=""http://blog.unlimit.fit/alerta-de-tendencia-bike-shorts-now-by-kim-kardashian/"">blog.unlimit.fit</a>
Saiba mais sobre o tecido em <a href=""http://emanafiber.com"">www.emanafiber.com</a>

Tecido Emana® Santaconstancia.
Tecnologias do tecido:
<ul>
 	<li>ATENÇÃO: Não possui almofada de ciclismo.</li>
 	<li>Anticelulite</li>
 	<li>Redução da fadiga muscular</li>
 	<li>Rápida recuperação muscular</li>
 	<li>Aumento da performance esportiva</li>
 	<li>Eco-Dry (secagem rápida)</li>
 	<li>Easy Care, não precisa passar</li>
 	<li>Proteção UV50 contra radiação ultravioleta</li>
 	<li>Isento de produtos tóxicos com certificação Oeko-Tex 100 Classe I</li>
 	<li>Composição: 84% Poliamida 16% Elastano</li>
</ul>
Para vestir-se bem em:
<ul>
 	<li>No seu dia a dia</li>
 	<li>Caminhadas</li>
 	<li>Corridas</li>
 	<li>Ciclismo</li>
 	<li>Academia</li>
 	<li>Musculação</li>
 	<li>Crossfit</li>
</ul>
<em>Bermuda Fitness Emana Unlimit - Bordô com Garantia contra defeitos de fabricação de 30 dias.</em>",,,taxable,,1,,0,0,,,,,1,,,,"Feminino > Anticelulite, Feminino > Bermuda Feminina > Bermuda Fitness, Feminino > Bermuda Feminina > Bermuda para Academia, Moda Fitness, Roupas Fitness, Feminino, Feminino > Bermuda Feminina","Corrida, CrossFit, Dia a Dia, Musculação",,"https://unlimit.fit/wp-content/uploads/2018/02/bermuda-emana-colors-bordo-unlimit1.jpg, https://unlimit.fit/wp-content/uploads/2018/02/bermuda-emana-colors-bordo-unlimit2.jpg",,,,,38128494,,,,0,Tamanho,"P, M, G",1,0,P,Cores,Bordô,1,0,Bordô
593,variation,38128494,"Bermuda Fitness Emana Unlimit - Rosè - P, Rose",1,0,visible,,,,,taxable,,1,4,0,0,,,,,0,,,"69,9000000000",,,,,,,38128493,,,38128489,,,0,Tamanho,P,,0,,Cores,Rose,,0,
594,variation,38128490,"Bermuda Fitness Emana Unlimit - Bordô - P, Bordô",1,0,visible,,,,,taxable,,1,4,0,0,,,,,0,,,"79,9000000000",,,,,,,38128489,,,,,,0,Tamanho,P,,0,,Cores,Bordô,,0,
595,variation,38128491,"Bermuda Fitness Emana Unlimit - Bordô - M, Bordô",1,0,visible,,,,,taxable,,1,1,0,0,,,,,0,,,"79,9000000000",,,,,,,38128489,,,,,,0,Tamanho,M,,0,,Cores,Bordô,,0,
